Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,220.750000,220.750000,217.550003,217.550003,201.010422,300
2017-03-28,216.399994,218.750000,216.399994,218.750000,202.119186,300
2017-03-29,218.199997,218.199997,216.490005,216.490005,200.030991,300
2017-03-30,216.600006,218.649994,216.490005,216.490005,200.030991,200
2017-03-31,218.050003,220.039993,218.050003,218.949997,202.303970,300
2017-04-03,219.000000,219.000000,218.000000,218.850006,202.211578,100
2017-04-04,219.000000,220.699997,218.500000,218.500000,201.888184,1200
2017-04-05,218.500000,218.500000,216.490005,216.860001,200.372879,100
2017-04-06,221.009995,221.910004,218.729996,219.250000,202.581146,400
2017-04-07,219.300003,221.179993,219.300003,220.350006,203.597534,1400
2017-04-10,218.100006,228.750000,217.929993,225.000000,207.894012,200
2017-04-11,223.630005,223.699997,220.000000,222.110001,205.223755,1000
2017-04-12,222.949997,222.949997,220.550003,221.259995,204.438370,600
2017-04-13,222.399994,222.649994,222.399994,222.570007,205.648758,200
2017-04-17,226.149994,226.149994,222.240005,222.240005,205.343826,100
2017-04-18,221.850006,222.100006,220.000000,222.100006,205.214523,700
2017-04-19,220.449997,220.449997,219.309998,219.309998,205.036850,100
2017-04-20,222.720001,224.330002,221.750000,223.449997,208.907410,1700
2017-04-21,222.149994,222.679993,221.059998,221.949997,207.505035,100
2017-04-24,233.000000,233.039993,232.300003,233.000000,217.835892,700
2017-04-25,242.300003,245.949997,242.300003,245.949997,229.943039,300
2017-04-26,247.149994,247.149994,243.449997,245.500000,229.522339,1300
2017-04-27,245.649994,246.110001,243.440002,245.250000,229.288651,600
2017-04-28,248.649994,248.649994,246.199997,247.850006,231.719421,1900
2017-05-01,247.000000,247.000000,246.199997,246.199997,230.176804,200
2017-05-02,246.850006,249.490005,246.550003,248.089996,231.943771,800
2017-05-03,251.509995,252.000000,251.000000,251.800003,235.412338,200
2017-05-04,255.440002,255.699997,255.440002,255.699997,239.058502,100
2017-05-05,260.299988,262.660004,260.299988,261.950012,244.901810,5400
2017-05-08,259.010010,259.029999,255.559998,256.140015,239.469910,4800
2017-05-09,254.710007,254.809998,253.889999,253.889999,237.366318,400
2017-05-10,252.860001,252.929993,251.149994,251.539993,235.169250,200
2017-05-11,253.000000,253.539993,253.000000,253.539993,237.039078,100
2017-05-12,251.399994,253.850006,251.399994,253.850006,237.328903,300
2017-05-15,253.669998,254.100006,252.759995,253.289993,236.805374,400
2017-05-16,257.399994,258.579987,257.399994,258.579987,241.751068,100
2017-05-17,255.119995,255.350006,253.520004,254.630005,238.058151,200
2017-05-18,253.770004,255.000000,253.520004,253.570007,237.067154,2700
2017-05-19,257.209991,257.209991,255.669998,256.399994,239.712952,300
2017-05-22,256.529999,257.510010,256.399994,257.510010,240.750748,200
2017-05-23,256.519989,257.149994,254.470001,255.240005,238.628448,100
2017-05-24,254.949997,255.059998,253.899994,255.059998,238.460190,600
2017-05-25,257.329987,257.630005,257.049988,257.049988,240.320648,100
2017-05-26,254.190002,254.190002,254.190002,254.190002,237.646790,100
2017-05-30,253.160004,253.949997,252.360001,253.729996,237.216705,300
2017-05-31,257.850006,257.850006,254.809998,254.809998,238.226440,300
2017-06-01,258.200012,258.250000,255.850006,255.929993,239.273514,200
2017-06-02,260.000000,261.790009,259.450012,261.790009,244.752151,1300
2017-06-05,258.559998,259.510010,258.559998,259.059998,242.199860,39300
2017-06-06,257.329987,257.329987,253.990005,253.990005,237.459808,200
2017-06-07,258.079987,258.760010,256.140015,256.140015,239.469910,200
2017-06-08,255.300003,255.300003,254.500000,254.500000,237.936630,200
2017-06-09,254.500000,255.070007,254.500000,254.740005,238.160995,200
2017-06-12,253.509995,253.509995,250.000000,250.000000,233.729477,600
2017-06-13,255.460007,255.949997,255.250000,255.949997,239.292236,100
2017-06-14,257.899994,257.899994,254.190002,254.190002,237.646790,100
2017-06-15,252.509995,253.660004,251.750000,251.750000,235.365585,100
2017-06-16,255.949997,259.000000,255.949997,259.000000,242.143738,500
2017-06-19,260.250000,260.649994,258.690002,259.190002,242.321365,100
2017-06-20,260.000000,260.000000,257.299988,258.839996,241.994141,300
2017-06-21,256.019989,259.200012,256.000000,259.200012,242.330734,1000
2017-06-22,259.000000,259.000000,257.320007,257.320007,240.573090,200
2017-06-23,257.630005,259.920013,257.619995,259.920013,243.003876,200
2017-06-26,260.850006,260.850006,257.459991,257.459991,240.703949,300
2017-06-27,259.000000,260.829987,259.000000,260.160004,243.228287,100
2017-06-28,259.399994,259.399994,257.000000,258.399994,241.582794,200
2017-06-29,253.500000,253.500000,248.869995,249.000000,232.794571,1700
2017-06-30,251.279999,252.500000,249.240005,250.500000,234.196945,700
2017-07-03,250.940002,251.550003,250.490005,251.550003,235.178604,100
2017-07-05,251.649994,252.940002,250.880005,252.940002,236.478149,100
2017-07-06,248.600006,250.289993,247.820007,249.479996,233.243286,500
2017-07-07,248.350006,248.350006,245.649994,248.199997,232.046631,300
2017-07-10,248.449997,248.449997,248.000000,248.000000,231.859650,100
2017-07-11,245.600006,246.509995,245.160004,246.509995,230.466629,2200
2017-07-12,246.490005,247.000000,246.490005,246.539993,230.494659,1600
2017-07-13,249.559998,249.559998,245.919998,246.399994,230.363770,100
2017-07-14,250.929993,252.460007,250.929993,251.660004,235.281433,200
2017-07-17,254.380005,254.970001,254.380005,254.970001,238.376038,100
2017-07-18,253.270004,254.000000,253.270004,254.000000,237.469177,300
2017-07-19,255.479996,257.079987,255.479996,257.079987,240.348709,300
2017-07-20,258.230011,259.739990,256.839996,259.380005,242.499008,200
2017-07-21,256.450012,256.820007,255.500000,256.820007,240.105637,100
2017-07-24,255.339996,255.550003,254.210007,255.550003,238.918289,1800
2017-07-25,255.809998,256.489990,255.500000,256.489990,239.797073,400
2017-07-26,255.800003,255.800003,254.240005,255.660004,239.021118,100
2017-07-27,252.339996,253.199997,251.000000,253.199997,236.721222,500
2017-07-28,250.000000,251.149994,250.000000,250.000000,233.729477,100
2017-07-31,251.100006,251.669998,250.919998,251.669998,235.290802,300
2017-08-01,256.399994,256.399994,254.919998,254.919998,238.329269,100
2017-08-02,256.850006,256.850006,255.179993,256.549988,239.853180,300
2017-08-03,261.000000,261.149994,260.309998,261.149994,244.153824,300
2017-08-04,261.549988,261.700012,260.109985,260.109985,243.181473,400
2017-08-07,261.959991,262.880005,260.859985,262.880005,245.771210,100
2017-08-08,260.549988,260.549988,260.549988,260.549988,243.592880,100
2017-08-09,255.000000,256.399994,254.880005,256.019989,239.357666,200
2017-08-10,253.460007,253.910004,252.169998,252.169998,235.758255,700
